,ID,DeviceSerial,Vin,MessageType,ReportType,MsgNum,TripState,ReceivedTimestamp,Latitude,Longitude,MessageXML,ProcessedTimestamp,IsProcessed,CollectionTimestamp,ManufacturerSerial
48895,940874266,1088217018,,GPS,TimeExpired1,5172,,2019-01-18 19:35:57.640,43.6812057495117,-79.5931091308594,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5172"" TripState=""N/A"" VIN="""" Latitude=""43.68121"" Longitude=""-79.59311""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>162.4</Course><GPSMessageNumber /><Speed>62.2608007774353</Speed><CollectionTimestamp>2019-01-18T19:36:04</CollectionTimestamp><TotalDistance>1940.0763219175576</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:36:04.000,816807
48896,940874306,1088217018,,Acceleration,QuickAcceleration,2351,,2019-01-18 19:36:00.047,43.680759429931605,-79.592903137207,"<AccelerationAlarm ReportType=""QuickAcceleration"" DeviceSerial=""1088217018"" MsgNum=""2351"" TripState=""N/A"" VIN="""" Latitude=""43.68076"" Longitude=""-79.5929""><Acceleration><Direction /><RawValue>40</RawValue><ConvertedValue>3.9240000000000004</ConvertedValue><TotalDistance>1940.1282</TotalDistance></Acceleration></AccelerationAlarm>",,0,2019-01-18 19:36:07.000,816807
48899,940874573,1088217018,,J1939,Current State,2352,On Route,2019-01-18 19:36:14.607,43.679046630859396,-79.5921096801758,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2352"" TripState=""On Route"" VIN="""" Latitude=""43.67905"" Longitude=""-79.59211""><JBusData><Course>162</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221898</TotalDistanceInMiles><Speed>51.488</Speed><EngineSpeed>1392</EngineSpeed><EngineLoad>17</EngineLoad><TotalFuelUsed>137817</TotalFuelUsed><EngineOnTime>900</EngineOnTime><IdleTime>621</IdleTime><FuelLevPrimary>79</FuelLevPrimary><TotalEngineHours>203018</TotalEngineHours><PBrkState>0</PBrkState><IdleTimeSinceEngOn>689</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:36:19.000,816807
48902,940875363,1088217018,,GPS,TimeExpired1,5173,,2019-01-18 19:36:57.560,43.6764335632324,-79.5933837890625,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5173"" TripState=""N/A"" VIN="""" Latitude=""43.67643"" Longitude=""-79.59338""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>249.1</Course><GPSMessageNumber /><Speed>40.951300748825076</Speed><CollectionTimestamp>2019-01-18T19:37:04</CollectionTimestamp><TotalDistance>1940.7474914960803</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:37:04.000,816807
48912,940876457,1088217018,,GPS,TimeExpired1,5174,,2019-01-18 19:37:57.640,43.670597076415994,-79.59251403808591,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5174"" TripState=""N/A"" VIN="""" Latitude=""43.6706"" Longitude=""-79.59251""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>156.7</Course><GPSMessageNumber /><Speed>49.660400547027585</Speed><CollectionTimestamp>2019-01-18T19:38:04</CollectionTimestamp><TotalDistance>1941.4768778727398</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:38:04.000,816807
48914,940876681,1088217018,,Acceleration,QuickAcceleration,2353,,2019-01-18 19:38:10.513,43.6691398620605,-79.5916366577148,"<AccelerationAlarm ReportType=""QuickAcceleration"" DeviceSerial=""1088217018"" MsgNum=""2353"" TripState=""N/A"" VIN="""" Latitude=""43.66914"" Longitude=""-79.59164""><Acceleration><Direction /><RawValue>24</RawValue><ConvertedValue>2.3544</ConvertedValue><TotalDistance>1941.6522000000002</TotalDistance></Acceleration></AccelerationAlarm>",,0,2019-01-18 19:38:17.000,816807
48919,940877117,1088217018,,Acceleration,QuickAcceleration,2354,,2019-01-18 19:38:34.247,43.6665382385254,-79.590217590332,"<AccelerationAlarm ReportType=""QuickAcceleration"" DeviceSerial=""1088217018"" MsgNum=""2354"" TripState=""N/A"" VIN="""" Latitude=""43.66654"" Longitude=""-79.59022""><Acceleration><Direction /><RawValue>25</RawValue><ConvertedValue>2.4525</ConvertedValue><TotalDistance>1941.9603528</TotalDistance></Acceleration></AccelerationAlarm>",,0,2019-01-18 19:38:40.000,816807
48924,940877941,1088217018,,GPS,TimeExpired1,5175,,2019-01-18 19:39:19.247,43.665321350097706,-79.5933609008789,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5175"" TripState=""N/A"" VIN="""" Latitude=""43.66532"" Longitude=""-79.59336""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>257.9</Course><GPSMessageNumber /><Speed>31.13040038871765</Speed><CollectionTimestamp>2019-01-18T19:39:04</CollectionTimestamp><TotalDistance>1942.2727106472732</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:39:04.000,816807
48928,940878645,1088217018,,GPS,TimeExpired1,5176,,2019-01-18 19:39:57.857,43.6646003723145,-79.596565246582,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5176"" TripState=""N/A"" VIN="""" Latitude=""43.6646"" Longitude=""-79.59657""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>228.2</Course><GPSMessageNumber /><Speed>43.545498991012572</Speed><CollectionTimestamp>2019-01-18T19:40:04</CollectionTimestamp><TotalDistance>1942.5415442386704</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:40:04.000,816807
48931,940879360,1088217018,,Acceleration,QuickAcceleration,2356,,2019-01-18 19:40:38.920,43.6620407104492,-79.5993728637695,"<AccelerationAlarm ReportType=""QuickAcceleration"" DeviceSerial=""1088217018"" MsgNum=""2356"" TripState=""N/A"" VIN="""" Latitude=""43.66204"" Longitude=""-79.59937""><Acceleration><Direction /><RawValue>29</RawValue><ConvertedValue>2.8449</ConvertedValue><TotalDistance>1942.9000512</TotalDistance></Acceleration></AccelerationAlarm>",,0,2019-01-18 19:40:45.000,816807
